instruction,intent,response,language,next_questions,next_action
Patient says: Can you help me?,fallback,"That's okay. Please describe what you need help with in your own words, and I'll guide you step by step.",en,"[""user_goal""]",
Patient says: Something is wrong,fallback,"That's okay. Please describe what you need help with in your own words, and I'll guide you step by step.",en,"[""user_goal""]",
Patient says: Mujhe nahi pata,fallback,"Koi baat nahi. Apni problem apne words mein bataiye, main step by step guide karunga.",hi,"[""user_goal""]",
Patient says: Samajh nahi aa raha,fallback,"Koi baat nahi. Apni problem apne words mein bataiye, main step by step guide karunga.",hi,"[""user_goal""]",
Patient says: Aap help kar sakte ho?,fallback,"Koi baat nahi. Apni problem apne words mein bataiye, main step by step guide karunga.",hi,"[""user_goal""]",
Patient says: Kuch problem hai,fallback,"Koi baat nahi. Apni problem apne words mein bataiye, main step by step guide karunga.",hi,"[""user_goal""]",
Patient says: aaj se body off lag rahi hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",hinglish,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: tabiyat subah se kharab hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",hinglish,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: mujhe ye problem aaj start hui,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",hinglish,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: kuch ajeeb sa feel ho raha hai,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",hinglish,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: I don't feel well today,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: Something has been bothering me since morning,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: I have been feeling unwell,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: I have a new symptom,symptom_reporting,"I understand. I'll record that symptom. When did it start, and how severe is it from 0 to 10?",en,"[""onset"", ""severity"", ""associated_symptoms""]",
Patient says: is document ko record mein daal do,report_upload,Sure. Please upload a clear photo or PDF of the report. I can help extract and organize the information for your medical record.,hinglish,,request_document
Patient says: report ki photo leke upload karni hai,report_upload,Sure. Please upload a clear photo or PDF of the report. I can help extract and organize the information for your medical record.,hinglish,,request_document
Patient says: meri prescription scan karni hai,report_upload,Sure. Please upload a clear photo or PDF of the report. I can help extract and organize the information for your medical record.,hinglish,,request_document
Patient says: Please add this document to my record,report_upload,Sure. Please upload a clear photo or PDF of the report. I can help extract and organize the information for your medical record.,en,,request_document
Patient says: I want to scan my prescription,report_upload,Sure. Please upload a clear photo or PDF of the report. I can help extract and organize the information for your medical record.,en,,request_document
Patient says: Can I add a photo of this prescription?,report_upload,Sure. Please upload a clear photo or PDF of the report. I can help extract and organize the information for your medical record.,en,,request_document
Patient says: doctor ka slot chahiye,doctor_appointment,Sure. I can help you start an appointment request. Which department or type of doctor do you need?,hinglish,"[""department"", ""preferred_date"", ""preferred_time""]",
Patient says: clinic mein consultation chahiye,doctor_appointment,Sure. I can help you start an appointment request. Which department or type of doctor do you need?,hinglish,"[""department"", ""preferred_date"", ""preferred_time""]",
Patient says: doctor se consult karna hai,doctor_appointment,Sure. I can help you start an appointment request. Which department or type of doctor do you need?,hinglish,"[""department"", ""preferred_date"", ""preferred_time""]",
Patient says: I need a consultation,doctor_appointment,Sure. I can help you start an appointment request. Which department or type of doctor do you need?,en,"[""department"", ""preferred_date"", ""preferred_time""]",
Patient says: Find me a doctor appointment,doctor_appointment,Sure. I can help you start an appointment request. Which department or type of doctor do you need?,en,"[""department"", ""preferred_date"", ""preferred_time""]",
Patient says: Can I schedule a clinic visit?,doctor_appointment,Sure. I can help you start an appointment request. Which department or type of doctor do you need?,en,"[""department"", ""preferred_date"", ""preferred_time""]",
